검색조건
대출기간,2026-01-01 ~ 2026-06-27
성별,전체
연령,전체
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2026-06-28
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","소년이 온다 :한강 장편소설 ","지은이: 한강","창비","2014","","9788936434120","03810","813.62","22,800",
"2","안녕이라 그랬어 :김애란 소설 ","지은이: 김애란","문학동네","2025","","9791141602376","03810","813.7","18,231",
"3","혼모노 :성해나 소설집 ","지은이: 성해나","창비","2025","","9788936439743","03810","813.7","17,834",
"4","작별하지 않는다 :한강 장편소설 ","지은이: 한강","문학동네","2021","","9788954682152","03810","813.62","17,166",
"5","모순 :양귀자 장편소설 ","지은이: 양귀자","쓰다","2013","","9788998441012","03810","813.62","15,818",
"6","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","03810","813.7","15,685",
"7","절창 :구병모 장편소설 ","지은이: 구병모","문학동네","2025","","9791141602451","03810","813.7","15,074",
"8","홍학의 자리 :정해연 장편소설 ","지은이: 정해연","문학동네","2021","","9788954681155","03810","813.7","13,269",
"9","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","15","9791168417199","77810","810","13,268",
"10","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","16","9791168418011","77810","810","13,266",
"11","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","14","9791168416369","77810","810","13,084",
"12","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","17","9791168418844","77810","810","13,056",
"13","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","19","9791173473968","77810","810","13,030",
"14","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","13","9791168415232","77810","810","12,833",
"15","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","8","9791164138197","77810","810","12,731",
"16","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","10","9791168411685","77810","810","12,679",
"17","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","18","9791173114038","77810","810","12,675",
"18","이중 하나는 거짓말 :김애란 장편소설 ","지은이: 김애란","문학동네","2024","","9791141601300","03810","813.7","12,510",
"19","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","12","9791168414471","77810","810","12,440",
"20","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","11","9791168412477","77810","810","12,391",
"21","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","5","9791164135592","77810","810","12,348",
"22","어른의 행복은 조용하다 ","글: 태수","페이지2북스","2024","","9791169851053","03810","818","12,305",
"23","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","9","9791164139897","77810","810","12,120",
"24","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","3","9791164134267","77810","810","12,062",
"25","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","7","9791164137527","77810","810","11,924",
"26","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","4","9791164134847","77810","810","11,910",
"27","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","1","9791164131686","77810","810","11,896",
"28","자몽살구클럽","한로로 (HANRORO) (지은이)","어센틱","2025","","9791199305304","","","11,871",
"29","단 한 번의 삶 ","지은이: 김영하","복복서가","2025","","9791191114768","03810","814.62","11,869",
"30","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","6","9791164136261","77810","810","11,818",
"31","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","20","9791173479939","77810","810","11,775",
"32","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","2","9791164132454","77810","810","11,554",
"33","급류 :정대건 장편소설 ","지은이: 정대건","민음사","2022","","9788937473401","04810","813.7","11,504",
"34","채식주의자 :한강 장편소설 ","지은이: 한강","창비","2022","","9788936434595","03810","813.62","11,434",
"35","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","1","9788936447694","74810","813.7","11,116",
"36","가공범 ","지은이: 히가시노 게이고 ;옮긴이: 김선영","교보문고","2025","","9791170612759","03830","833.6","11,104",
"37","박곰희 연금 부자 수업 :4개의 통장으로 월 300만원 만들기 ","박곰희 지음","인플루엔셜","2025","","9791168342941","03320","327.8","11,061",
"38","괴테는 모든 것을 말했다 ","스즈키 유이 지음 ;이지수 옮김","콘텐츠그룹 포레스트","2025","","9791194530701","03830","833.6","10,840",
"39","프로젝트 헤일메리 ","앤디 위어 지음 ;강동혁 옮김","RHK(알에이치코리아)","2021","","9788925588735","04840","843.6","10,748",
"40","불편한 편의점 :김호연 장편소설","지은이: 김호연","나무옆의자","2022","2","9791161571379","03810","813.7","10,719",
"41","첫 여름, 완주 :김금희 장편소설 ","저자 : 김금희","무제","2025","","9791197221989","03810","813.7","10,408",
"42","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","9","9791168415409","77400","400","10,398",
"43","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","10","9791168416598","77400","400","10,327",
"44","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","11","9791168414488","77400","400","10,268",
"45","긴긴밤 ","루리 글·그림","문학동네","2021","","9788954677158","73810","813.7","10,140",
"46","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","13","9791173471780","77400","400","10,138",
"47","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","12","9791168419018","77400","400","10,051",
"48","바깥은 여름 :김애란 소설 ","지은이: 김애란","문학동네","2017","","9788954646079","03810","813.7","10,016",
"49","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","8","9788936448950","73810","813.7","10,006",
"50","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","2","9788936447861","74810","813.7","9,963",
"51","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","2","9791164137121","77400","400","9,910",
"52","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","14","9791173321610","77400","400","9,886",
"53","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","1","9791164136032","77400","400","9,837",
