번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","소년들은 자라서 어디로 가나:이경란 소설집","이경란 지음","강","2025","9788982183799","","0","","813.7","1","0","2026-03-24",
"2","[큰글자] 가난한 사람들","표도르 도스토옙스키 지음;김선영 옮김","새움","2026","9791170801511","","0","","892.83","1","0","2026-03-24",
"3","세종의 나라:김진명 장편소설","김진명 지음","이타북스","2026","9791167764126","","0","2","813.7","1","1","2026-03-24",
"4","나의 완벽한 장례식:조현선 장편소설","조현선 지음","북로망스","2026","9791124038192","","0","","813.7","1","2","2026-03-24",
"5","쥬디 할머니:박완서 소설","박완서 지음","문학동네","2026","9791141615055","","0","","813.7","1","2","2026-03-24",
"6","여기서 나가","김진영 지음","반타","2026","9791175771468","","0","","813.7","1","0","2026-03-24",
"7","어스탐 경의 임사전언:이영도 장편소설","이영도 지음","황금가지","2025","9791170526643","","0","","813.7","1","0","2026-03-24",
"8","간단후쿠:김숨 장편소설","김숨 지음","민음사","2025","9788937422881","","0","","813.7","1","0","2026-03-24",
"9","우연한 작별","김화진 [외] 지음","창비교육","2025","9791165703868","","0","","813.7","1","0","2026-03-24",
"10","중등 논술 신문:스스로 생각하며 논리력을 키우는","오현선 글","서사원주니어","2026","9791168225275","","4","","373.3","1","2","2026-03-24",
"11","이 망할 열네 살:김혜정 장편소설","김혜정 지음","사계절","2026","9791169814164","","4","","813.7","1","1","2026-03-24",
"12","내 친구는 왜 그럴까?:친구의 마음이 궁금한 어린이를 위한","최현주 글;이화경 그림","퍼텐셜하우스","2025","9791199573901","","7","","199.4","1","1","2026-03-24",
"13","(크게 생각할 줄 아는 어린 철학자들의)생각의 지도","제마 엘윈 해리스 엮음;김희정 옮김","레디투다이브","2025","9791199381551","","7","","104","1","2","2026-03-24",
"14","친구를 만드는 커다란 귀:나의 경청 이야기","허은미 글;소복이 그림","다봄","2026","9791194148500","","7","","813.8","1","2","2026-03-24",
"15","똥볶이 할멈","강효미 글;김무연 그림","슈크림북","2026","9791198948793","","7","8","813.8","1","1","2026-03-24",
"16","자작나무 숲:김인숙 장편소설","김인숙 지음","교보문고","2025","9791170613503","","0","","813.7","1","1","2026-03-24",
"17","떠난 것은 돌아오지 않는다:줄리언 반스 장편소설","줄리언 반스 지음;정영목 옮김","다산책방","2026","9791130681009","","0","","843.6","1","0","2026-03-24",
"18","인터메초:샐리 루니 장편소설","샐리 루니 지음;허진 옮김","은행나무","2026","9791167376220","","0","","843.6","1","0","2026-03-24",
"19","주인 노예 남편 아내","우일연 지음;강동혁 옮김","드롬","2025","9791193866405","","0","","843.6","1","0","2026-03-24",
"20","0000","임선우 지음","위즈덤하우스","2024","9791171717071","","0","","813.7","1","1","2026-03-24",
"21","기묘한 살인사건:공포 단편집","권지용 [외] 지음","하이스트그로우","2025","9791193282502","","0","","813.7","1","0","2026-03-24",
"22","마지막 방화:조영주 장편소설","조영주 지음","한겨레출판","2026","9791172133719","","0","","813.7","1","0","2026-03-24",
"23","내일도 그럴 거야","나현정 지음","길벗어린이","2026","9788955828313","","7","","813.8","1","2","2026-03-24",
"24","(르네와 글럼푸트의)끄트머리 식당을 찾아온 수상한 손님","마이키 플리즈 글·그림;노은정 옮김","비룡소","2026","9788949114545","","7","","843","1","2","2026-03-24",
"25","토끼 아저씨네 엄청나게 매운 카레:큐라이스 그림책","큐라이스 지음;황진희 옮김","길벗어린이","2026","9788955828283","","7","","833.8","1","3","2026-03-24",
"26","(학교에서 바로 쓸 수 있는)세계와 지리","National Geographic Kids;세계와 지리 연구팀 [공]지음","비룡소","2025","9788949132716","","7","2026","980","1","1","2026-03-24",
"27","헬라어의 시간","김선용 지음","복있는사람","2026","9791170833161","","0","","233.07","1","0","2026-03-24",
"28","돈의 방정식","모건 하우절 지음;박영준 옮김","서삼독","2026","9791193904671","","0","","327.04","1","0","2026-03-24",
"29","(자본주의 시대에서 살아남기 위한)최소한의 경제 공부","백억남(김욱현) 지음","하이스트","2025","9791193282533","","0","","320","1","2","2026-03-24",
"30","텐배거 포트폴리오=Ten bagger portfolio","김학주 지음","Page2(페이지2북스)","2025","9791169851763","","0","","327.8","1","1","2026-03-24",
"31","코스피 10000 Next level","박시동 지음","지와인","2026","9791191521504","","0","","327.856","1","2","2026-03-24",
"32","최소한의 삼국지:최태성의 삼국지 고전 특강","최태성 지음","프런트페이지","2025","9791193401583","","0","","912.033","1","1","2026-03-24",
